"","Fire_ID","avg_cmi","avg_vpd"
"525","SLK55_2015_1963",0.32,5.85
"526","NIP20_2015_1965",2.13,4.37
"527","RED24_2015_1966",-1.31,5.73
"528","SLK19_2015_1967",-0.38,5.395
"529","RED44_2015_1968",-0.86,6.2425
"530","SLK53_2015_1969",0.42,5.6975
"531","SUD38_2015_1970",-0.12,6.5725
"532","KEN5_2015_1971",-0.71,4.1
"533","NIP31_2015_1972",1.49,6.09
"534","NIP32_2015_1973",2.17,5.46
"535","SLK23_2015_1974",1.66,4.89
"536","SLK30_2015_1975",1.85,5.4475
"537","NIP24_2015_1976",1.34,6.30666666666667
"538","COC13_2015_1977",2.54,4.89666666666667
"539","NIP23_2015_1979",1.91,4.40333333333333
"540","SLK32_2015_1980",-0.31,4.85666666666667
"541","SLK21_2015_1981",0.21,4.81333333333333
"542","SLK67_2015_1982",0.49,5.77333333333333
"543","RED25_2015_1983",-0.53,6.335
"544","NIP19_2015_1984",0.25,5.215
"545","SLK36_2015_1985",1.42,4.70333333333333
"546","RED11_2015_1986",0.4,4.615
"547","RED58_2015_1987",0.1,5.605
"548","SLK62_2015_1988",0.97,5.85333333333333
"549","SLK41_2015_1989",0.47,4.77333333333333
"550","NIP30_2015_1990",1.73,4.67666666666667
"551","NIP17_2015_1991",1.79,4.30666666666667
"552","SLK28_2015_1992",0.48,4.84
"553","RED17_2015_1993",-0.54,5.22666666666667
"554","RED16_2015_1994",-0.49,5.22
"555","NIP38_2015_1995",0.82,5.645
"556","RED46_2015_1996",-0.99,6.3225
"557","SLK57_2015_1997",0.13,5.6425
"558","RED7_2015_1998",0.48,4.605
"559","RED50_2015_1999",0.24,6.305
"560","SLK23_2016_2000",0.56,6.16333333333333
"561","THU19_2016_2001",0.32,4.27
"562","NOR32_2016_2002",-0.43,6.812
"563","NIP12_2016_2003",-0.19,4.425
"564","HEA4_2016_2004",-0.2,4.64
"565","RED3_2016_2005",2.4,4.715
"566","SUD35_2016_2006",-1.51,5.83666666666667
"567","SLK29_2016_2007",-0.38,6.47333333333333
"568","WAW7_2016_2010",0.67,3.92
"569","HEA5_2016_2011",-0.14,4.65
"570","SLK6_2016_2012",0.12,4.92
"571","NIP15_2016_2013",2.04,3.955
"572","KEN18_2016_2014",3.02,4.73
"573","APK20_2016_2015",-1.77,8.264
"574","SLK30_2016_2016",0.67,5.605
"575","NIP23_2016_2022",1.41,5.4675
"576","SLK237_2017_1939",2.48,5.61857142857143
"577","SLK45_2017_1940",0.78,5.315
"578","RED23_2017_1941",-1.01,6.14
"579","NIP78_2017_1942",1.48,6.6025
"580","NIP37_2017_1945",3.41,5.97333333333333
"581","SLK187_2017_1946",-0.88,6.43
"582","SLK8_2017_1947",0.25,5.77333333333333
"583","SLK32_2017_1948",0.64,5.535
"584","SLK42_2017_1949",2.19,6.56
"585","SLK36_2017_1950",1.74,6.168
"586","SLK129_2017_1951",-0.42,5.9675
"587","NIP12_2017_1952",1.23,6.71666666666667
"588","NIP40_2017_1953",2.91,6.21
"589","NIP75_2017_1954",0.67,6.8
"590","NIP46_2017_1955",1.53,6.39
"591","SLK102_2017_1956",0.23,5.786
"592","NIP64_2017_1957",1.99,6.1125
"593","SLK115_2017_2023",0.59,5.636
"594","NIP32_2017_2024",1.4,6.39666666666667
"595","RED34_2017_2025",-0.58,5.982
