"","Fire_ID","lat","long","el","FIRE_START","Fire_Year","StartBurnDay","interp_date","month","dmc","ffmc","dc"
"438","SLK45_2013_1863",53.58827044,-89.57340991,240.079292,2013-07-12,2013,2013-07-12,2013-07-12,7,36.461680092539,51.8967335193912,276.155818235062
"439","NIP44_2013_1864",51.17209595,-87.09502415,256.1433371,2013-07-03,2013,2013-07-06,2013-07-06,7,17.2542394003882,31.6535509239363,134.73136959234
"440","RED32_2013_1865",51.47215789,-94.39580988,405.2768887,2013-07-02,2013,2013-07-04,2013-07-04,7,29.6621378448379,79.2724970116021,165.369330951449
"441","NIP50_2013_1866",53.43153625,-88.83662388,229.0771693,2013-07-04,2013,2013-07-08,2013-07-08,7,51.9080195722218,74.6638078288489,257.716999224211
"442","NIP45_2013_1867",51.75328688,-86.95590159,240.6775856,2013-06-19,2013,2013-06-19,2013-06-19,6,22.9923517646099,65.118027145562,91.7971422743834
"443","NIP43_2013_1868",51.92320286,-87.97339519,289.7259368,2013-07-01,2013,2013-07-04,2013-07-04,7,46.0559954002398,90.8731653085874,185.421071569609
"444","SLK27_2013_1869",53.76484434,-91.33977434,252.7891037,2013-06-08,2013,2013-06-08,2013-06-08,6,56.1652237316988,94.4295926988881,122.022101085456
"445","NIP40_2013_1870",52.8986825,-87.36816122,207.5540735,2013-07-01,2013,2013-07-01,2013-07-01,7,37.4131518155932,89.9142903392851,184.417800123017
"446","SLK19_2013_1871",51.95796541,-89.48991794,319.545088,2013-06-07,2013,2013-06-07,2013-06-07,6,30.7318631190611,92.2295294849071,74.1364814240738
"447","NIP53_2013_1872",52.75306,-86.58965721,173.6160521,2013-07-01,2013,2013-07-01,2013-07-01,7,38.6156529253299,89.9788860725226,173.922167320137
"448","SLK16_2013_1873",52.89842098,-90.34636884,303.8515065,2013-06-07,2013,2013-06-10,2013-06-10,6,47.7887450930584,59.0005752891608,130.71677805362
"449","NIP51_2013_1874",53.9405887,-87.76523069,127.7287421,2013-07-04,2013,2013-07-07,2013-07-07,7,48.0541407590144,86.9706573304272,233.124995094589
"450","SLK35_2013_1875",52.42237038,-90.05473435,330.930131,2013-07-03,2013,2013-07-03,2013-07-03,7,40.1226047952854,93.3574412232346,195.397764005939
"451","NIP19_2013_1876",52.64997888,-87.97291229,253.9213564,2013-06-07,2013,2013-07-05,2013-07-05,7,38.9392560287497,83.1019291631871,207.178429043724
"452","THU16_2013_1877",50.28948691,-88.86701609,319.4744859,2013-06-07,2013,2013-06-07,2013-06-07,6,21.6810424963288,92.0162746308907,50.6371004241386
"453","SLK18_2013_1878",53.79200883,-89.86877576,214.6863989,2013-06-08,2013,2013-06-08,2013-06-08,6,56.0450213132151,92.2411702557116,120.475792265573
"454","NIP21_2013_1879",52.78258827,-88.87055911,246.5902229,2013-06-01,2013,2013-06-01,2013-06-01,6,22.6783203975528,55.0501857226515,59.8303515520319
"455","SLK13_2014_1881",53.54009408,-89.04752624,212,2014-08-08,2014,2014-08-08,2014-08-08,8,28.3169408123215,86.2287404210339,293.037196018333
