"","Fire_ID","Fire_Year","Fire_Start","BurnDay","Snow_Acc","SnowAccDay","SnowMeltDay","Snow_Melt","SnowCoverDays","ymdPS","peakSnow","sweMean","sweMedian","doPS","tdps","tssm","avg_cmi","avg_vpd","avgBio","cc","age"
"92","NIP400_2006_1613",2006,2006-09-08,250,2005-09-23,265,106,2006-04-17,206,2006-12-31,112.6840909,43.73493786,38.61000061,364,-258,144,-1.52,5.32833333333333,106.194442749023,71.8267135620117,99.9922866821289
"93","NIP341_2006_1614",2006,2006-09-15,257,2005-11-11,314,85,2006-03-27,136,2006-03-09,91.24501339,35.99748978,37.2816658,67,18,172,-1.01,5.67428571428571,80.839973449707,61.3309173583984,67.2542533874512
"94","NIP402_2006_1615",2006,2006-09-09,251,2005-11-09,312,106,2006-04-17,159,2006-12-31,111.4285361,42.79949765,37.20999908,364,-258,145,-1.49,5.19166666666667,90.1402587890625,67.6387481689453,105.190567016602
"95","NIP334_2006_1616",2006,2006-09-14,256,2005-11-09,312,109,2006-04-20,162,2006-10-02,114.9259393,45.95882623,40.60499954,274,-165,147,-1.47,5.15666666666667,77.3015289306641,65.0978622436523,90.7503814697266
"96","FOR52_2006_1617",2006,2006-07-07,187,2005-10-07,279,106,2006-04-17,192,2006-03-06,35.78109731,9.14386725,0,64,42,81,-1.96,7.5825,78.9649429321289,64.5187149047852,68.9961051940918
"97","FOR173_2006_1618",2006,2006-09-12,254,2005-10-07,279,85,2006-03-27,171,2006-03-06,46.76581376,12.77187152,0,64,21,169,-1.12,6.75428571428571,101.848472595215,75.0548858642578,75.6405868530273
"98","FOR54_2006_1619",2006,2006-07-18,198,2005-10-29,301,85,2006-03-27,149,2006-03-06,41.16171416,10.60551234,0,64,21,113,-0.54,6.508,78.5568771362305,69.5561447143555,64.6122016906738
"99","FOR165_2006_1620",2006,2006-09-10,252,2005-09-29,271,83,2006-03-25,177,2006-03-06,39.0123101,9.862893766,0,64,19,169,-1.1,6.79142857142857,70.7575454711914,54.4388313293457,70.1083145141602
"100","FOR57_2006_1621",2006,2006-07-18,198,2005-11-12,315,85,2006-03-27,135,2006-03-06,42.97407536,11.11561676,0,64,21,113,-0.43,6.478,96.3329467773438,72.6002807617188,71.9646987915039
"101","FOR63_2006_1622",2006,2006-07-13,193,2005-10-07,279,85,2006-03-27,171,2006-03-06,44.18283467,11.43164428,0,64,21,108,-0.47,6.518,77.8576278686523,60.8197860717773,77.4033355712891
"102","FOR179_2006_1623",2006,2006-09-12,254,2005-10-08,280,85,2006-03-27,170,2006-03-06,46.24969121,12.02811417,0,64,21,169,-0.97,6.75142857142857,94.3945465087891,66.7618942260742,83.1553726196289
"103","FOR61_2006_1624",2006,2006-07-18,198,2005-10-07,279,85,2006-03-27,171,2006-03-06,49.23272982,12.8353494,0.469999999,64,21,113,-0.26,6.538,97.8392333984375,72.1087036132812,73.154296875
"104","RED163_2006_1625",2006,2006-09-12,254,2005-09-20,262,115,2006-04-26,218,2006-03-27,100.5133236,41.20650162,30.07999992,85,30,139,0.57,5.98833333333333,47.2609443664551,47.8530693054199,88.7974319458008
"105","RED182_2006_1626",2006,2006-09-04,246,2005-09-25,267,114,2006-04-25,212,2006-03-26,79.82332818,30.980645,17.34914201,84,30,132,-0.54,6,41.1917343139648,41.8303909301758,66.7334480285645
"106","RED183_2006_1627",2006,2006-09-01,243,2005-09-18,260,110,2006-04-21,215,2006-03-26,57.47425251,23.09000066,12.48999977,84,26,133,-0.77,5.93833333333333,60.0793228149414,54.7678298950195,67.2347412109375
"107","RED146_2006_1628",2006,2006-08-26,237,2005-10-07,279,113,2006-04-24,199,2006-03-27,97.91434878,38.53912514,23.30999947,85,28,124,-0.23,6.392,39.8800811767578,39.7374229431152,73.4164886474609
"108","RED113_2006_1629",2006,2006-08-26,237,2005-10-08,280,115,2006-04-26,200,2006-03-27,100.3897727,40.07911703,24.3037789,85,30,122,-0.02,6.372,30.4342594146729,31.7738456726074,68.4396476745605
"109","RED176_2006_1632",2006,2006-09-07,249,2005-10-11,283,115,2006-04-26,197,2006-03-26,87.78850045,33.80416838,20.63999939,84,31,134,-0.33,6.07666666666667,43.983024597168,44.8715286254883,68.1927299499512
"110","THU142_2006_1634",2006,2006-09-13,255,2005-11-12,315,101,2006-04-12,151,2006-12-31,85.09124353,25.18674713,13.17505121,364,-263,154,-1.48,7.06833333333333,46.3531074523926,39.4810409545898,67.157154083252
"111","THU234_2006_1635",2006,2006-09-13,255,2005-10-07,279,85,2006-03-27,171,2006-12-31,52.04848349,13.49162954,2.364000082,364,-279,170,-0.85,6.41571428571429,81.7579116821289,64.9360809326172,73.5717163085938
"112","THU190_2006_1636",2006,2006-09-16,258,2005-10-07,279,85,2006-03-27,171,2006-12-31,50.50124721,13.09066894,2.394000053,364,-279,173,-0.96,6.45142857142857,88.6694793701172,61.5048904418945,74.360221862793
"113","NIP430_2006_1637",2006,2006-09-12,254,2005-09-30,272,118,2006-04-29,211,2006-12-31,47.95923164,13.18589221,2.769999981,364,-246,136,-1.77,6.87333333333333,78.3264846801758,58.5736198425293,80.2547912597656
"114","NIP267_2006_1641",2006,2006-09-08,250,2005-10-19,291,110,2006-04-21,184,2006-12-31,112.5060681,38.97731271,34.49000168,364,-254,140,-1.32,6.12333333333333,72.1186752319336,65.8931579589844,78.3419342041016
"115","NIP415_2006_1645",2006,2006-09-08,250,2005-09-27,269,107,2006-04-18,203,2006-12-31,131.3486448,54.10592798,54.99000168,364,-257,143,-1.41,6.05,61.9689102172852,59.945442199707,70.2667236328125
"116","NIP428_2006_1646",2006,2006-09-16,258,2005-11-18,321,86,2006-03-28,130,2006-12-31,44.52679982,13.19127579,2.670000076,364,-278,172,-1.25,6.37857142857143,61.3691787719727,52.6602935791016,65.9527397155762
"117","THU184_2006_1647",2006,2006-09-15,257,2005-11-08,311,105,2006-04-16,159,2006-12-31,80.14511971,24.57624444,14.72000027,364,-259,152,-1.75,7.17,39.1917991638184,40.1606559753418,54.6335678100586
"118","NIP276_2006_1655",2006,2006-09-16,258,2005-11-12,315,106,2006-04-17,156,2006-12-31,123.6793415,47.63216108,46.76666641,364,-258,152,-1.42,5.78666666666667,74.5570678710938,54.8409042358398,85.2268447875977
